dataset	subject	Cortical Ribbon	Subcortical Nuclei	Cerebellum	Superficial WM	Deeper WM	Deepest WM	Superficial CSF	Deeper CSF
dset-camcan	sub-CC520562	12597	929	2805	9509	3850	2865	1082	226
dset-camcan	sub-CC520584	9937	759	2474	7361	2576	1955	772	78
dset-camcan	sub-CC520585	10743	784	2411	7565	2540	1698	958	263
dset-camcan	sub-CC520597	12115	865	2865	9275	3078	2210	872	40
dset-camcan	sub-CC520607	10277	806	2437	7630	2664	1638	791	54
dset-camcan	sub-CC520624	11373	872	2307	7953	2928	2218	687	122
dset-camcan	sub-CC520673	12660	982	2510	8773	3126	1885	1081	280
dset-camcan	sub-CC520745	9770	763	2256	7586	2703	1817	807	155
dset-camcan	sub-CC520775	10170	688	2106	7052	2136	1246	956	253
dset-camcan	sub-CC520868	11993	832	2721	8602	3152	2173	955	180
dset-camcan	sub-CC520980	12331	830	2468	9003	2855	1598	1092	238
dset-camcan	sub-CC521040	10904	753	2475	8232	3116	2090	974	261
dset-camcan	sub-CC610022	10670	790	2353	7099	2556	1725	738	108
dset-camcan	sub-CC610028	12242	948	2293	9291	2683	1050	1528	791
dset-camcan	sub-CC610039	9666	705	2179	7792	2339	972	923	138
dset-camcan	sub-CC610040	10370	842	2764	8656	2752	1471	1150	354
dset-camcan	sub-CC610046	10222	792	2717	8541	3260	2442	880	125
dset-camcan	sub-CC610051	10553	871	2435	9001	3427	2806	1030	273
dset-camcan	sub-CC610052	10940	810	2159	8557	3056	1746	1102	259
dset-camcan	sub-CC610058	10736	833	3006	8619	2562	1138	1289	728
dset-camcan	sub-CC610071	10359	738	2122	8359	2818	1282	1143	328
dset-camcan	sub-CC610076	10161	680	1936	8078	2624	1053	1102	799
dset-camcan	sub-CC610099	10764	806	2390	7407	2535	1275	755	201
dset-camcan	sub-CC610101	9845	850	2417	8414	2890	1921	923	171
dset-camcan	sub-CC610146	11385	880	2602	8557	3020	2004	1064	246
dset-camcan	sub-CC610178	11594	868	2578	8739	2957	1675	1214	325
dset-camcan	sub-CC610210	11538	847	2349	9381	3309	1849	1384	573
dset-camcan	sub-CC610212	11211	766	2375	7879	2828	1800	981	239
dset-camcan	sub-CC610227	9966	740	2411	7607	2537	1297	1156	512
dset-camcan	sub-CC610285	10662	779	2408	7904	2820	1509	1002	418
dset-camcan	sub-CC610288	11134	793	2690	8621	2919	1483	1328	792
dset-camcan	sub-CC610292	9768	735	2195	7835	2564	1565	732	31
dset-camcan	sub-CC610308	11318	882	2761	8818	2973	1888	1297	712
dset-camcan	sub-CC610344	8237	650	1809	6703	2175	786	1162	709
dset-camcan	sub-CC610372	11379	957	2343	9594	3288	1520	1382	666
dset-camcan	sub-CC610392	10225	717	2148	7261	2522	1515	675	46
dset-camcan	sub-CC610405	9398	716	2530	7109	2258	1372	872	91
dset-camcan	sub-CC610462	10722	809	2256	8628	2806	1361	1064	406
dset-camcan	sub-CC610469	9439	712	2378	7322	2364	1446	1009	331
dset-camcan	sub-CC610496	9908	805	2194	7735	2616	1317	933	212
dset-camcan	sub-CC610508	10576	851	1887	8484	2652	1304	940	213
dset-camcan	sub-CC610568	11665	825	2411	8484	2791	1607	926	125
dset-camcan	sub-CC610575	8983	666	2170	6962	2269	1131	1003	242
dset-camcan	sub-CC610576	9021	708	2270	6834	2158	970	846	267
dset-camcan	sub-CC610594	9570	771	2108	7518	2589	1293	778	205
dset-camcan	sub-CC610614	9586	830	2456	8719	2906	1437	1297	752
dset-camcan	sub-CC610625	10823	781	2231	8099	2844	1882	876	227
dset-camcan	sub-CC610631	10108	813	2204	7266	2259	946	890	328
dset-camcan	sub-CC610653	11552	888	2375	8871	3060	1718	1073	176
dset-camcan	sub-CC610671	10387	703	2241	7564	2203	886	1119	556
dset-camcan	sub-CC620005	9190	758	2098	8474	2839	1252	1212	633
dset-camcan	sub-CC620026	10581	883	2524	8492	2735	1273	967	120
dset-camcan	sub-CC620044	10444	782	2374	8575	3071	1781	1109	462
dset-camcan	sub-CC620073	9297	818	2793	7848	2955	2138	778	37
dset-camcan	sub-CC620085	8957	741	2279	7828	2614	1257	1057	409
dset-camcan	sub-CC620090	8598	653	2017	6727	2399	1424	946	361
dset-camcan	sub-CC620106	9948	707	2309	6995	2218	1125	1015	361
dset-camcan	sub-CC620114	12167	865	2548	9609	3269	1881	1238	391
dset-camcan	sub-CC620118	11918	837	2120	8088	2758	1310	1039	410
dset-camcan	sub-CC620121	10431	809	2561	8614	2878	1536	1089	119
dset-camcan	sub-CC620129	11062	817	2480	8625	3164	2412	1187	297
dset-camcan	sub-CC620152	10805	851	2472	8442	2989	1799	1034	249
dset-camcan	sub-CC620164	9757	740	2184	6900	2070	1173	735	160
dset-camcan	sub-CC620193	10865	947	2385	8355	2823	1740	1224	728
dset-camcan	sub-CC620259	9118	724	2206	6871	2274	1257	826	95
dset-camcan	sub-CC620262	9195	703	1824	7058	2252	987	908	219
dset-camcan	sub-CC620264	9540	776	2063	7730	2564	928	1012	143
dset-camcan	sub-CC620279	8806	756	2342	7875	2640	1195	1056	458
dset-camcan	sub-CC620284	10113	985	2283	8997	2986	1225	979	162
dset-camcan	sub-CC620314	9647	773	2118	7709	2675	1043	1106	454
dset-camcan	sub-CC620354	8411	672	2416	7404	2455	1523	960	170
dset-camcan	sub-CC620359	5364	832	2681	12829	4828	2990	1383	387
dset-camcan	sub-CC620405	10135	734	2391	7884	2531	1296	865	62
dset-camcan	sub-CC620406	12041	994	2722	10003	3316	1982	1228	463
dset-camcan	sub-CC620413	9467	822	2375	8348	3159	2191	1105	283
dset-camcan	sub-CC620429	11146	800	2669	8239	2424	1516	806	46
dset-camcan	sub-CC620436	10034	796	2456	8221	2442	946	1459	953
dset-camcan	sub-CC620444	9163	589	1841	6390	1917	928	772	207
dset-camcan	sub-CC620451	9057	782	1989	8247	2724	1267	1273	706
dset-camcan	sub-CC620454	9597	688	2008	7132	2336	1329	707	140
dset-camcan	sub-CC620466	10421	889	2560	9048	3247	1627	1506	1253
dset-camcan	sub-CC620479	10620	793	2624	8072	3072	2177	835	204
dset-camcan	sub-CC620490	10085	715	1867	6718	2279	1693	668	79
dset-camcan	sub-CC620496	9354	690	1995	6664	2162	1256	788	56
dset-camcan	sub-CC620499	9952	901	2601	8201	2566	1285	1123	694
dset-camcan	sub-CC620515	9973	735	2337	7178	2161	1340	888	139
dset-camcan	sub-CC620518	10021	808	2533	8501	2653	1214	1233	612
dset-camcan	sub-CC620526	9188	778	2284	7265	2526	1462	774	48
dset-camcan	sub-CC620549	10570	773	1974	8224	2811	1705	1009	226
dset-camcan	sub-CC620557	9588	791	2426	8384	2563	1214	1042	320
dset-camcan	sub-CC620560	12344	988	2402	8326	2698	1720	1023	425
dset-camcan	sub-CC620567	10408	809	2447	8383	2757	1560	1191	539
dset-camcan	sub-CC620572	9154	657	2110	7016	2053	816	960	364
dset-camcan	sub-CC620592	8569	791	2230	6616	2112	977	990	333
dset-camcan	sub-CC620610	10148	856	2271	8597	2800	1481	1264	549
dset-camcan	sub-CC620619	10980	825	2611	8706	2716	1358	1058	342
dset-camcan	sub-CC620659	9528	742	2146	8074	3037	1664	907	178
dset-camcan	sub-CC620685	11527	800	2330	9730	3008	1031	1259	467
dset-camcan	sub-CC620720	8780	647	2049	6958	2322	1311	785	114
dset-camcan	sub-CC620785	10948	746	2383	7484	2430	1517	927	188
dset-camcan	sub-CC620793	11448	747	2629	8559	2507	1067	1523	1198
dset-camcan	sub-CC620821	11594	579	2672	10212	3301	1223	1282	488
dset-camcan	sub-CC620885	9038	652	2255	6760	1899	773	933	155
dset-camcan	sub-CC620919	10940	881	2904	11442	3233	941	1548	680
dset-camcan	sub-CC620935	12305	987	2080	9316	3392	2064	1551	1007
dset-camcan	sub-CC621011	10873	801	2500	10041	2820	715	1735	1589
dset-camcan	sub-CC621080	9960	895	2202	8015	2516	1102	1362	920
dset-camcan	sub-CC621118	10294	842	2532	8780	3020	1686	1123	422
dset-camcan	sub-CC621128	9246	897	2526	9836	3155	1547	1410	629
dset-camcan	sub-CC621184	7509	664	746	6362	2215	1378	864	250
dset-camcan	sub-CC621199	12155	815	2367	9455	2918	1555	1156	645
dset-camcan	sub-CC621248	10878	886	2637	8101	2771	1536	811	74
dset-camcan	sub-CC621284	9010	684	2189	7206	1988	682	1008	355
dset-camcan	sub-CC621642	11907	771	2347	8921	3177	2139	932	258
dset-camcan	sub-CC710037	9301	850	2076	7860	2710	1484	1001	303
dset-camcan	sub-CC710088	9712	789	2040	7234	1994	1094	740	170
dset-camcan	sub-CC710099	11083	1070	2910	11075	2905	680	1495	494
dset-camcan	sub-CC710131	13465	862	2779	10767	2892	1030	1448	799
dset-camcan	sub-CC710154	9732	766	2083	7933	2056	715	1440	790
dset-camcan	sub-CC710176	8547	706	2044	7453	2818	1670	1113	352
dset-camcan	sub-CC710313	9831	846	2738	8499	2835	1364	1379	715
dset-camcan	sub-CC710342	8769	649	2516	6836	2036	818	1282	492
dset-camcan	sub-CC710350	10910	859	2387	9053	3170	1525	1177	369
dset-camcan	sub-CC710382	9793	871	2907	9129	2947	1024	1632	1378
dset-camcan	sub-CC710416	8389	650	1943	6683	1800	473	959	354
dset-camcan	sub-CC710429	9497	831	2130	8745	2236	595	1594	1415
dset-camcan	sub-CC710446	9551	856	2602	8705	3173	1655	1254	480
dset-camcan	sub-CC710462	9602	752	2093	7493	2301	943	1004	443
dset-camcan	sub-CC710486	9285	773	2052	8170	2467	1183	1035	223
dset-camcan	sub-CC710494	7933	787	2207	8446	2397	891	1013	314
dset-camcan	sub-CC710518	8856	642	2194	7409	2170	905	1075	376
dset-camcan	sub-CC710548	9494	796	2518	8563	2511	1121	1192	489
dset-camcan	sub-CC710551	7302	810	1839	10000	1920	289	1445	671
dset-camcan	sub-CC710566	10963	723	2467	8507	2671	1374	1188	418
dset-camcan	sub-CC710591	8682	649	1932	7092	2319	1038	1046	440
dset-camcan	sub-CC710664	7864	742	2240	7212	2135	705	920	668
dset-camcan	sub-CC710679	9919	891	2834	8715	2552	879	1711	2201
dset-camcan	sub-CC710858	11584	984	2475	9232	2994	1357	1400	838
dset-camcan	sub-CC710982	10535	795	2416	8876	2720	1604	1059	231
dset-camcan	sub-CC711027	8887	748	2139	8842	2378	519	1300	867
dset-camcan	sub-CC711035	9200	680	2081	8434	2120	493	1341	973
dset-camcan	sub-CC711128	7987	757	2115	7520	2506	1210	944	326
dset-camcan	sub-CC711158	7970	674	845	7423	2392	1294	1012	317
dset-camcan	sub-CC711244	10049	818	1902	7936	2509	807	1516	1405
dset-camcan	sub-CC711245	9225	922	2389	9677	3122	1372	1067	258
dset-camcan	sub-CC712027	10623	881	2522	9027	2964	1115	1250	498
dset-camcan	sub-CC720023	8977	745	2173	7293	2229	980	965	332
dset-camcan	sub-CC720071	9929	842	2283	7737	2530	1498	943	267
dset-camcan	sub-CC720103	10244	767	2436	7889	2520	1140	1232	414
dset-camcan	sub-CC720119	9337	793	2658	8642	2935	2031	915	111
dset-camcan	sub-CC720180	9261	847	2482	7977	2817	1648	1071	370
dset-camcan	sub-CC720188	10134	762	2748	9061	3144	1702	1153	467
dset-camcan	sub-CC720238	8523	674	2490	7727	2745	1409	1156	500
dset-camcan	sub-CC720290	9126	715	2501	8022	2262	939	1353	737
dset-camcan	sub-CC720304	8940	716	2313	7458	2667	1570	1080	469
dset-camcan	sub-CC720329	9167	822	2390	8858	2526	662	1505	1086
dset-camcan	sub-CC720358	10089	690	2025	7863	2893	1604	1016	347
dset-camcan	sub-CC720400	9109	754	2493	8005	2777	1323	1221	590
dset-camcan	sub-CC720407	10652	886	2602	9122	2895	1433	1332	750
dset-camcan	sub-CC720497	8952	741	1988	7036	2284	1226	1185	547
dset-camcan	sub-CC720511	11998	919	2423	9582	3410	1462	1163	513
dset-camcan	sub-CC720516	8381	774	2069	7930	2196	673	1399	999
dset-camcan	sub-CC720622	9360	765	2406	8023	2593	1103	1150	515
dset-camcan	sub-CC720646	9885	691	2199	7730	2365	1166	931	254
dset-camcan	sub-CC720670	9554	912	2921	8534	2979	1731	1170	450
dset-camcan	sub-CC720685	11105	844	2842	8366	3005	2035	974	209
dset-camcan	sub-CC720941	9788	890	2575	8710	3067	2205	880	59
dset-camcan	sub-CC720986	9234	887	2811	8923	3101	1181	1357	670
dset-camcan	sub-CC721052	10541	873	2805	8414	2567	1234	1295	386
dset-camcan	sub-CC721107	10857	784	2298	8364	2546	894	921	325
dset-camcan	sub-CC721114	9321	628	1598	6336	2068	1098	802	82
dset-camcan	sub-CC721224	8463	766	2235	7479	2193	981	906	71
dset-camcan	sub-CC721291	9767	768	2383	7839	2349	1226	1052	313
dset-camcan	sub-CC721292	10629	846	2510	9134	3141	1438	1579	1739
dset-camcan	sub-CC721374	9800	784	2520	8456	3117	1559	1536	1297
dset-camcan	sub-CC721377	7912	854	2342	9297	2873	956	1267	767
dset-camcan	sub-CC721392	9723	730	2625	8244	2531	871	1388	984
dset-camcan	sub-CC721418	9577	787	2010	7702	2058	614	1128	555
dset-camcan	sub-CC721434	9512	619	2035	8685	2695	1275	1188	559
dset-camcan	sub-CC721504	10637	793	2548	8793	2851	1661	1247	674
dset-camcan	sub-CC721519	9432	679	2182	6636	2096	1222	646	194
dset-camcan	sub-CC721532	9914	750	2426	7475	2492	1270	1042	570
dset-camcan	sub-CC721585	9798	902	2257	8097	2363	951	1263	696
dset-camcan	sub-CC721618	10769	744	2123	7741	2419	1280	717	178
dset-camcan	sub-CC721648	8723	795	2172	7452	2620	1266	1134	577
dset-camcan	sub-CC721704	8681	840	2501	8928	2486	548	1476	1078
dset-camcan	sub-CC721707	9645	706	2348	7786	2430	1009	978	222
dset-camcan	sub-CC721729	8131	792	2365	8172	2749	1357	1157	476
dset-camcan	sub-CC721888	10014	765	2070	8550	2650	1117	1142	464
dset-camcan	sub-CC721891	8594	742	2244	9069	2894	785	1291	820
dset-camcan	sub-CC721894	8625	781	2221	8564	3160	1480	1088	523
dset-camcan	sub-CC722216	7238	699	2364	9104	3124	1384	1081	348
dset-camcan	sub-CC722421	8790	819	2604	7413	2164	820	1366	1051
dset-camcan	sub-CC722536	10966	935	2406	8862	3067	1690	944	146
dset-camcan	sub-CC722542	10895	833	2321	9093	2834	1304	1222	496
dset-camcan	sub-CC722651	9240	693	2027	7801	2373	895	1233	623
dset-camcan	sub-CC722891	9615	710	2495	8378	2893	1280	1483	977
dset-camcan	sub-CC723197	9989	874	2613	8370	2620	825	1286	1018
dset-camcan	sub-CC723395	9054	788	2307	7719	2540	1317	977	282
dset-cohen	sub-01	16980	1467	2429	13255	4919	3346	1158	1014
dset-cohen	sub-02	19670	1590	3390	12994	4556	3399	848	104
dset-cohen	sub-03	21913	1495	3785	13132	4721	3563	670	162
dset-cohen	sub-04	16985	1418	3060	12943	4639	3436	871	333
dset-cohen	sub-05	15249	1326	3051	10718	3514	2246	470	52
dset-cohen	sub-06	20297	1367	3971	11616	3766	2325	472	49
dset-cohen	sub-07	14398	1311	3353	11053	3750	2407	503	67
dset-cohen	sub-08	13352	1127	3088	8682	2863	2058	430	45
dset-cohen	sub-09	20105	1435	2940	13048	4538	3180	656	247
dset-cohen	sub-10	16292	1326	3249	11806	3977	2800	525	99
dset-cohen	sub-11	16579	1339	3761	10709	3861	2587	571	46
dset-cohen	sub-12	16656	1151	3189	10884	3705	2543	860	350
dset-cohen	sub-13	15703	1275	3523	10358	3503	2460	418	19
dset-dalenberg	sub-01	10444	824	2874	8587	2815	1855	441	131
dset-dalenberg	sub-03	13067	959	3038	9952	3420	2516	302	25
dset-dalenberg	sub-04	10813	925	3001	9365	3395	2526	446	143
dset-dalenberg	sub-05	12111	1008	3018	9575	3127	2345	476	99
dset-dalenberg	sub-06	11380	906	2948	9787	2939	2032	378	52
dset-dalenberg	sub-07	13777	957	2848	9749	3064	2000	336	17
dset-dalenberg	sub-08	11282	983	2912	8444	2861	2146	511	34
dset-dalenberg	sub-09	11145	1026	3459	9577	3239	2219	615	244
dset-dalenberg	sub-10	13297	880	3249	9415	3344	2020	531	368
dset-dalenberg	sub-11	12694	929	3317	8847	2963	2096	687	47
dset-dalenberg	sub-12	10439	847	2689	8752	2610	1702	405	90
dset-dalenberg	sub-13	12835	973	2892	9571	3410	2695	516	252
dset-dalenberg	sub-14	12016	803	2878	8428	2407	1371	427	179
dset-dalenberg	sub-15	12113	895	2942	8444	2804	1714	502	91
dset-dalenberg	sub-16	12370	944	2966	8900	3104	2228	386	45
dset-dalenberg	sub-17	10405	895	2862	7951	2750	2007	461	23
dset-dalenberg	sub-18	12598	887	2870	8715	2808	1995	312	29
dset-dalenberg	sub-19	11993	1033	2915	9303	3056	2494	632	53
dset-dalenberg	sub-20	11745	879	3142	8507	3081	2397	471	52
dset-dalenberg	sub-21	9905	908	2439	9432	2814	1934	385	95
dset-dupre	sub-01	19669	1333	3973	12276	4271	2989	1287	93
dset-dupre	sub-02	18953	1374	4287	11928	3507	2232	760	40
dset-dupre	sub-03	18686	1464	4434	12112	4170	2418	1395	423
dset-dupre	sub-04	19752	1512	4501	12570	4151	3049	1421	63
dset-dupre	sub-05	19001	1413	4133	13353	4477	3553	917	79
dset-dupre	sub-06	18397	1473	4260	12925	3859	2641	1132	31
dset-dupre	sub-07	16984	1237	3190	10745	3310	1973	1030	21
dset-dupre	sub-08	17274	1285	3253	12066	3452	2088	652	56
dset-dupre	sub-09	18677	1517	3475	12982	4251	3191	625	31
dset-dupre	sub-10	16627	1302	4124	12321	4266	3299	636	96
dset-dupre	sub-11	19543	1358	4298	11879	3574	1981	1511	228
dset-dupre	sub-12	18200	1465	3878	11844	4008	2919	834	50
dset-dupre	sub-13	16926	1332	4026	10797	3494	2119	999	154
dset-dupre	sub-14	18922	1431	4101	12645	3962	2811	722	183
dset-dupre	sub-15	17444	1416	4935	11859	4086	2819	1212	96
dset-dupre	sub-16	17816	1303	3889	11006	3595	2349	943	27
dset-dupre	sub-17	19244	1346	3998	11320	3665	2346	735	37
dset-dupre	sub-19	21053	1673	4731	13127	5156	3934	1047	36
dset-dupre	sub-20	19056	1618	4010	13107	4731	4142	1303	70
dset-dupre	sub-21	21048	1543	3986	13831	4929	3727	1424	242
dset-dupre	sub-22	18876	1406	3936	11482	4010	2526	1246	125
dset-dupre	sub-23	16022	1126	3624	10729	3711	2639	595	72
dset-dupre	sub-24	17467	1437	4048	11457	4289	3239	974	14
dset-dupre	sub-25	18022	1320	3933	11587	3868	2755	555	37
dset-dupre	sub-26	17515	1260	3611	10558	3441	2135	737	57
dset-dupre	sub-27	16715	1337	3780	10517	3342	2134	554	25
dset-dupre	sub-28	18797	1412	4452	10978	3566	2623	988	215
dset-dupre	sub-29	18154	1458	3986	12305	4450	2635	1252	203
dset-dupre	sub-30	20151	1345	3796	12009	3892	2737	943	109
dset-dupre	sub-31	17221	1407	4206	11732	3752	2903	441	18
